code,name,sector,big,middle,small
111110,호전실업,섬유및의복,패션,의류_OEMODM,"OEM/ODM(THE NORTH FACE, UNDER ARMOUR 등)"
8770,호텔신라,도소매,유통,면세점,면세점
60560,홈센타홀딩스,건축소재,건설,레미콘,레미콘
64240,홈캐스트,휴대폰및관련부품,방송미디어,방송장비,셋톱박스 제조 및 판매 
39610,화성밸브,기계,에너지,도시가스,도시가스 밸브제조업
2460,화성산업,건설,건설,건설,"토목 및 건축, 주택 공급업"
378850,화승알앤에이,자동차부품,Auto,자동차부품_차체,자동차용 고무부품 
241590,화승엔터프라이즈,섬유및의복,패션,패션잡화,신발 ODM(아디다스향)
6060,화승인더,섬유및의복,패션,패션잡화,신발 ODM(아디다스향)
13520,화승코퍼레이션,자동차부품,Auto,자동차부품_차체,자동차용 내/외장재(방진/호스)
10690,화신,자동차부품,Auto,자동차부품_차체,자동차용 샤시(Chassis)
126640,화신정공,자동차부품,Auto,자동차부품_차체,자동차용 샤시(Chassis)
133820,화인베스틸,금속및광물,기초소재,철강_봉형강,조선용 형강
127980,화인써키트,전자장비및기기,PCB,PCB,인쇄회로기판(PCB)
61250,화일약품,제약,헬스케어,제약_원료의약품,원료의약사업
10660,화천기계,기계,기계,공작기계,CNC 선반
850,화천기공,기계,기계,공작기계,CNC 선반
16580,환인제약,제약,헬스케어,제약_완제의약품,"(신경계) 리페리돈, 쿠에타빈 등(정신, 신경질환 치료제)"
32560,황금에스티,금속및광물,기초소재,철강_스테인리스,스테인리스 코일센터
4800,효성,복합산업,지주사,지주사,지주사
94280,효성ITX,상업서비스,통신,컨택센터,컨택센터(콜센터) 서비스 
97870,효성오앤비,화학,농업,비료,비료
298040,효성중공업,기계,에너지,전력_송배전,변압기 등
298050,효성첨단소재,화학,기초소재,석유화학,"타이어코드, 스판덱스 등"
298020,효성티앤씨,섬유및의복,기초소재,화학섬유,"Polyester, 나일론, 스판덱스 등"
298000,효성화학,화학,기초소재,석유화학,"PP, TPA, PET Film 등"
93370,후성,화학,기초소재,석유화학,불소 기반 기초 화합물 
81660,휠라홀딩스,섬유및의복,패션,의류_브랜드,FILA 
290270,휴네시온,일반소프트웨어,보안,네트워크보안,망연계솔루션
